Causas,Distrito Nacional,Azua,Baoruco,Barahona,Dajabon,Duarte,Elias piña,El seibo,Espaillat,Independencia,La altagracia,La Romana,La vega,Maria trinidad Sanchez,Monte Cristi,pedernales,Peravia,Puerto Plata,Hermanas Mirabal,Samana,San Cristobal,San Juan,San Pedro de macoris,Sanchez Ramirez,Santiago,Santiago Rodriguez,Valverde,Monseñor nouel,Monte plata,Hato mayor ,San Jose de ocoa,Santo domingo,Desconocido,Total
1.01 Infecciosas intestinales,44,8,0,2,6,4,20,9,0,0,1,9,17,3,0,1,13,1,0,2,9,9,16,2,28,0,3,3,0,0,1,21,0,232
1.02 Tuberculosis ,107,2,1,2,5,4,0,6,3,0,0,20,11,3,1,0,4,6,2,1,13,7,11,5,34,6,0,5,2,4,4,21,0,290
1.03 Ciertas enfermedades transmitidas por vectores y rabia,1,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,10
1.04 Ciertas enfermedades prevenibles por vacunas,14,0,0,2,0,5,0,1,2,1,0,0,5,1,0,1,1,3,0,0,0,2,0,1,7,0,2,1,0,0,1,2,0,52
1.05 Meningitis,39,1,0,1,0,5,0,0,1,0,0,1,2,1,0,0,0,1,0,0,1,1,0,0,13,0,0,0,2,0,0,13,0,82
"1.06 Septicemia, excepto neonatal",205,2,0,4,0,7,0,0,2,0,3,2,8,2,2,0,2,3,3,2,2,3,6,3,95,2,2,4,1,1,0,31,0,397
1.07 Enfermedad por el VIH (SIDA),110,6,0,9,6,13,1,4,7,0,4,25,23,7,10,1,10,11,4,9,21,12,18,3,80,7,3,7,11,3,1,39,0,465
1.08 Infecciones respiratorias agudas,346,16,5,10,7,63,9,3,12,2,4,16,36,22,3,2,70,37,27,3,17,12,37,5,179,6,6,13,2,5,3,85,0,1063
1.09 Resto de ciertas enfermedades infecciosas y parasitarias,25,1,0,0,3,6,0,0,0,0,0,2,9,0,1,0,1,1,0,0,5,2,5,2,19,1,0,0,0,0,0,9,0,92
2.01 Tumor maligno del estomago,37,4,2,6,1,13,3,3,11,1,1,11,35,7,2,0,4,12,2,5,12,9,8,4,48,3,2,6,7,3,2,21,0,285
2.02 Tumor maligno del colon,76,0,2,4,2,11,1,2,7,2,0,11,20,4,8,1,6,8,9,2,13,4,7,4,54,3,4,9,1,4,2,33,0,314
2.03 Tumor maliggno otros organos digestivos y peritoneo,143,9,2,6,10,19,2,7,11,2,1,23,47,13,8,1,9,31,9,6,25,13,26,13,94,11,9,13,9,5,6,55,0,638
"2.04 Tumor maligno de la traquea, bronquios y pulmón",115,7,2,3,7,22,7,10,19,0,0,12,48,14,7,0,12,12,18,3,12,11,17,13,88,7,11,10,7,1,4,51,0,550
2.05 Tumor maligno de otros organos respitatorios e intratorácicos,11,1,0,0,0,2,0,1,3,0,0,2,1,1,1,0,1,2,2,0,1,3,1,1,13,2,0,0,0,0,0,7,0,56
2.06 Tumor maligno de la mama femenina,85,3,3,8,3,15,1,5,7,2,0,13,17,8,5,0,5,12,1,6,17,8,11,1,38,2,5,7,7,6,1,44,0,346
2.07 Tumor maligno del cuello del útero,36,3,1,2,5,8,1,0,2,2,0,8,19,2,3,0,2,4,2,1,12,1,14,3,25,0,3,4,3,0,2,17,0,185
2.08 Tumor maligno del cuerpo del utero,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,15
"2.09 Tumor maligno del utero, parte no especificada",11,1,0,0,0,6,1,4,0,0,0,0,3,1,1,0,0,5,1,1,4,4,3,0,7,0,0,0,2,5,2,3,0,65
2.10 Tumor maligno de la prostata,113,24,6,11,10,28,8,12,16,2,1,25,36,14,11,1,18,46,16,18,42,18,25,11,93,12,7,27,16,21,14,78,0,780
2.11 Tumor maligno de otros organos genitourinarios,38,5,0,6,1,6,1,0,2,3,0,2,3,4,5,0,5,3,4,2,4,3,4,1,28,2,1,3,5,1,2,14,0,158
2.12 Leucemia,61,1,1,1,0,6,1,2,2,1,0,1,8,5,1,0,3,6,3,0,3,3,3,0,34,2,4,3,1,1,0,7,0,164
"2.13 Tumor maligno del tejido linfatico, de otros organos hematopoyeticos y de tejidos afines",64,1,0,0,1,2,0,0,4,0,0,3,1,0,1,0,2,3,1,0,6,2,3,1,34,1,1,1,1,1,1,13,0,148
2.14 tumores malignos de otras localizaciones y de las no especificadas,119,15,12,9,7,35,2,1,14,3,0,11,45,11,8,0,11,20,10,10,27,9,17,8,100,7,12,16,14,11,6,47,0,617
"2.15 tumores in situ, benignos y los de comportamiento incierto y desconocido",33,1,0,2,1,24,0,0,1,0,0,1,18,2,2,1,1,6,3,4,2,5,4,3,21,1,2,6,1,0,2,7,0,154
3.01 fiebre reumática aguda y enfermedades cardiacas reumáticas crónicas ,14,3,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,3,0,34
3.02 Enfermedades hipertensivas,279,32,5,35,12,58,14,15,32,11,1,26,95,14,26,4,33,41,46,28,38,30,60,29,166,19,18,58,24,10,25,128,2,1414
3.03 Enfermedades isquemicas del corazón,921,64,39,101,29,242,37,47,80,23,44,123,305,101,41,14,111,181,113,58,255,78,295,71,776,46,67,113,125,68,41,445,0,5054
"3.04 Enfermedad cardiopulmonar, enfermedades de la circulacion pulmonar y otras formas de enfermedad del corazon",227,6,0,5,0,26,0,2,8,1,1,9,11,8,2,1,2,18,1,3,11,8,20,8,107,5,4,4,7,0,3,46,0,554
3.05 Paro cardiaco,0,0,0,4,0,0,1,0,1,0,0,0,1,1,0,0,0,4,1,0,4,0,1,2,12,1,0,2,6,0,0,4,0,45
3.06 Insuficiencia cardiaca,120,12,4,6,8,16,6,3,42,2,4,17,53,17,10,0,9,73,5,16,24,24,29,6,50,7,25,23,17,13,12,38,0,691
