"producto interno bruto por sectores de origen, trimestral, pesos corrientes, millones de pesos corrientes",,,,,
año,quarter,nivel1,nive2,nivel3,valor
2007,q1,Agropecuario,Subsector Agricola,Subsector Agricola,11301.86769
2007,q2,Agropecuario,Subsector Agricola,Subsector Agricola,13413.92227
2007,q3,Agropecuario,Subsector Agricola,Subsector Agricola,11127.87492
2007,q4,Agropecuario,Subsector Agricola,Subsector Agricola,15874.27801
2008,q1,Agropecuario,Subsector Agricola,Subsector Agricola,13323.32349
2008,q2,Agropecuario,Subsector Agricola,Subsector Agricola,15964.66283
2008,q3,Agropecuario,Subsector Agricola,Subsector Agricola,12904.26488
2008,q4,Agropecuario,Subsector Agricola,Subsector Agricola,18000.16501
2009,q1,Agropecuario,Subsector Agricola,Subsector Agricola,12421.74447
2009,q2,Agropecuario,Subsector Agricola,Subsector Agricola,17201.58824
2009,q3,Agropecuario,Subsector Agricola,Subsector Agricola,13815.61558
2009,q4,Agropecuario,Subsector Agricola,Subsector Agricola,18668.67077
2010,q1,Agropecuario,Subsector Agricola,Subsector Agricola,12723.57213
2010,q2,Agropecuario,Subsector Agricola,Subsector Agricola,22350.73917
2010,q3,Agropecuario,Subsector Agricola,Subsector Agricola,18622.10916
2010,q4,Agropecuario,Subsector Agricola,Subsector Agricola,20526.58582
2011,q1,Agropecuario,Subsector Agricola,Subsector Agricola,14203.1341
2011,q2,Agropecuario,Subsector Agricola,Subsector Agricola,24565.5867
2011,q3,Agropecuario,Subsector Agricola,Subsector Agricola,21682.11999
2011,q4,Agropecuario,Subsector Agricola,Subsector Agricola,19326.46538
2012,q1,Agropecuario,Subsector Agricola,Subsector Agricola,19441.27227
2012,q2,Agropecuario,Subsector Agricola,Subsector Agricola,28359.70721
2012,q3,Agropecuario,Subsector Agricola,Subsector Agricola,17097.55403
2012,q4,Agropecuario,Subsector Agricola,Subsector Agricola,19153.92468
2013,q1,Agropecuario,Subsector Agricola,Subsector Agricola,17784.71702
2013,q2,Agropecuario,Subsector Agricola,Subsector Agricola,25841.56939
2013,q3,Agropecuario,Subsector Agricola,Subsector Agricola,16568.98254
2013,q4,Agropecuario,Subsector Agricola,Subsector Agricola,24222.16203
2014,q1,Agropecuario,Subsector Agricola,Subsector Agricola,17565.02505
2014,q2,Agropecuario,Subsector Agricola,Subsector Agricola,25689.98267
2014,q3,Agropecuario,Subsector Agricola,Subsector Agricola,19754.18625
2014,q4,Agropecuario,Subsector Agricola,Subsector Agricola,30469.82285
2015,q1,Agropecuario,Subsector Agricola,Subsector Agricola,20423.84983
2015,q2,Agropecuario,Subsector Agricola,Subsector Agricola,27421.21484
2015,q3,Agropecuario,Subsector Agricola,Subsector Agricola,25077.25914
2015,q4,Agropecuario,Subsector Agricola,Subsector Agricola,36981.39296
2016,q1,Agropecuario,Subsector Agricola,Subsector Agricola,25029.03541
2016,q2,Agropecuario,Subsector Agricola,Subsector Agricola,33970.33235
